"행정구역(시군구)별",2012,2013,2014,2015,2016
"행정구역(시군구)별",총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명)
"진주시",337314,337071,340241,344426,346739
"진해시",-,-,-,-,-
"통영시",139347,139719,139439,139168,138160
"사천시",115321,116851,116485,115452,114912
"김해시",513260,522049,527240,528865,529422
"밀양시",108755,108342,107765,107896,108354
"거제시",236944,242077,248287,255828,257183
"양산시",270460,279565,292376,301291,317037
"의령군",30329,29417,29209,28544,28111
"함안군",67425,67667,68741,69156,68937
"창녕군",62966,63447,63502,63817,63982
"고성군",56906,56369,55916,55284,54703
"남해군",48223,47244,46638,45865,45129
"하동군",50806,50177,49223,50259,49622
"산청군",35691,35935,35849,36071,36098
"함양군",40714,40692,40584,40339,40241
"거창군",63103,63177,63137,63232,63308
"합천군",50279,50290,50457,49145,48026
"제주특별자치도",583713,593806,607346,624395,641597
"제주시",429656,438165,448834,459876,470665
"서귀포시",154057,155641,158512,164519,170932
